"","treeID","nodeID","parmID","contPT","mwcpSZ"
"206",4,2,1,67,0
"207",4,2,1,65,0
"208",4,2,0,NA,0
"209",4,23,1,66,0
"210",4,23,0,NA,0
"211",4,24,0,NA,0
"212",4,22,1,68,0
"213",4,22,0,NA,0
"214",4,25,1,69,0
"215",4,25,0,NA,0
"216",4,26,1,70,0
"217",4,26,0,NA,0
"218",4,27,1,71,0
"219",4,27,0,NA,0
"220",4,28,1,72,0
"221",4,28,0,NA,0
"222",4,29,0,NA,0
"223",5,1,1,65,0
"224",5,1,1,63,0
"225",5,1,1,54,0
"226",5,1,1,49,0
"227",5,1,1,46,0
"228",5,1,1,35,0
"229",5,1,0,NA,0
"230",5,7,1,39,0
"231",5,7,1,38,0
"232",5,7,1,37,0
"233",5,7,0,NA,0
"234",5,10,0,NA,0
"235",5,9,0,NA,0
"236",5,8,1,42,0
"237",5,8,0,NA,0
"238",5,11,1,43,0
"239",5,11,0,NA,0
"240",5,12,0,NA,0
"241",5,6,1,48,0
"242",5,6,0,NA,0
"243",5,13,0,NA,0
"244",5,5,1,52,0
"245",5,5,1,51,0
"246",5,5,1,50,0
"247",5,5,0,NA,0
"248",5,16,0,NA,0
"249",5,15,0,NA,0
"250",5,14,0,NA,0
"251",5,4,1,56,0
"252",5,4,0,NA,0
"253",5,17,1,62,0
"254",5,17,1,57,0
"255",5,17,0,NA,0
"256",5,19,1,59,0
"257",5,19,1,58,0
"258",5,19,0,NA,0
"259",5,21,0,NA,0
"260",5,20,1,60,0
"261",5,20,0,NA,0
"262",5,22,1,61,0
"263",5,22,0,NA,0
"264",5,23,0,NA,0
"265",5,18,0,NA,0
"266",5,3,1,64,0
"267",5,3,0,NA,0
"268",5,24,0,NA,0
"269",5,2,1,66,0
"270",5,2,0,NA,0
"271",5,25,1,72,0
"272",5,25,1,71,0
"273",5,25,1,70,0
"274",5,25,1,68,0
"275",5,25,1,67,0
"276",5,25,0,NA,0
"277",5,30,0,NA,0
"278",5,29,1,69,0
"279",5,29,0,NA,0
"280",5,31,0,NA,0
"281",5,28,0,NA,0
"282",5,27,0,NA,0
"283",5,26,0,NA,0
"284",6,1,1,70,0
"285",6,1,1,40,0
"286",6,1,1,38,0
"287",6,1,0,NA,0
"288",6,4,0,NA,0
"289",6,3,1,54,0
"290",6,3,1,53,0
"291",6,3,1,48,0
"292",6,3,1,45,0
"293",6,3,1,42,0
"294",6,3,0,NA,0
"295",6,9,0,NA,0
"296",6,8,0,NA,0
"297",6,7,1,49,0
"298",6,7,0,NA,0
"299",6,10,1,50,0
"300",6,10,0,NA,0
"301",6,11,1,51,0
"302",6,11,0,NA,0
"303",6,12,1,52,0
"304",6,12,0,NA,0
"305",6,13,0,NA,0
"306",6,6,0,NA,0
"307",6,5,1,56,0
"308",6,5,1,55,0
"309",6,5,0,NA,0
"310",6,15,0,NA,0
"311",6,14,1,63,0
"312",6,14,1,58,0
"313",6,14,1,57,0
"314",6,14,0,NA,0
"315",6,18,0,NA,0
"316",6,17,1,61,0
"317",6,17,1,60,0
"318",6,17,0,NA,0
"319",6,20,0,NA,0
"320",6,19,1,62,0
"321",6,19,0,NA,0
"322",6,21,0,NA,0
"323",6,16,1,65,0
"324",6,16,1,64,0
"325",6,16,0,NA,0
"326",6,23,0,NA,0
"327",6,22,1,66,0
"328",6,22,0,NA,0
"329",6,24,1,69,0
"330",6,24,1,68,0
"331",6,24,1,67,0
"332",6,24,0,NA,0
"333",6,27,0,NA,0
"334",6,26,0,NA,0
"335",6,25,0,NA,0
"336",6,2,1,72,0
"337",6,2,0,NA,0
"338",6,28,0,NA,0
"339",7,1,1,66,0
"340",7,1,1,42,0
"341",7,1,1,39,0
"342",7,1,1,35,0
"343",7,1,0,NA,0
"344",7,5,0,NA,0
"345",7,4,0,NA,0
