"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"28",25,27,27,22,30,27,24,26,23,23,30,22,26,22,24,24,27,23,30,25,25,25,28,28,21,27,26,23,21,27,23,26,23,27,4,27,29,26,25,24,25,26,3,26,16,3,24,25,24,27,31,27,28,27,4,28,23,23,26,19,23,28,26,25,23,25,26,17,27,25,29,25,22,22,28,2,29,27,23,20,28,28,26,29,25,27,31,26,26,24,3,24,26,25,26,28,27,23,22,25
"29",7,6,10,7,11,9,3,9,13,10,10,8,5,13,5,10,7,11,10,8,9,12,8,13,10,11,6,10,6,9,8,2,10,8,10,11,13,10,13,8,8,6,7,11,8,12,7,6,7,9,12,10,8,8,9,11,12,10,3,7,6,8,11,12,10,8,6,6,10,9,8,11,6,9,5,3,11,14,10,5,7,12,6,8,3,10,6,10,4,10,9,9,4,10,11,14,3,11,9,11
"30",16,15,17,16,4,5,16,4,17,13,19,11,12,14,15,14,17,4,17,9,4,7,15,8,17,17,4,11,11,13,18,14,12,2,14,16,9,18,8,4,11,12,6,15,4,13,11,18,4,13,15,17,16,19,12,17,16,17,15,16,10,16,16,5,15,11,13,15,15,14,16,17,16,8,14,6,20,17,16,12,4,19,13,14,10,14,20,15,12,15,14,14,13,18,14,10,9,5,13,4
"31",6,7,6,8,8,3,4,6,3,8,11,6,6,13,6,11,8,10,7,3,8,4,11,4,8,12,7,9,8,9,7,2,10,6,8,9,14,4,14,10,9,9,8,5,5,9,5,9,6,6,12,6,6,10,10,10,12,12,4,8,6,7,7,8,9,5,7,2,9,9,12,8,7,5,9,4,10,6,5,5,10,11,7,4,3,11,7,2,4,8,9,10,5,7,3,2,7,10,10,6
"32",18,16,25,21,3,16,19,17,7,18,26,17,20,18,22,20,21,15,25,16,15,16,20,19,23,19,16,4,16,19,14,20,15,15,22,18,24,8,20,14,16,21,4,20,17,4,21,20,20,19,24,19,25,22,23,23,20,4,16,20,18,24,21,21,20,17,19,18,20,22,24,18,20,19,23,21,23,23,21,8,24,23,19,11,21,19,22,21,20,22,4,22,22,3,19,25,21,3,23,15
"33",23,21,26,2,24,23,21,22,22,22,27,21,22,2,21,19,23,21,26,24,23,24,25,2,25,23,23,3,20,24,13,19,22,25,21,22,26,3,22,22,2,23,26,19,20,25,23,23,19,24,23,3,24,21,22,22,19,22,21,22,22,26,4,20,22,16,24,20,24,24,23,22,19,18,22,20,22,25,20,17,26,22,23,24,23,24,27,23,24,21,20,21,21,23,24,24,20,2,25,21
"34",23,21,26,2,24,23,21,22,22,22,27,21,22,2,21,19,23,21,26,24,23,24,25,2,25,23,23,3,20,24,13,19,22,25,21,22,26,3,22,22,2,23,26,19,20,25,23,23,19,24,23,3,24,21,22,22,19,22,21,22,22,26,4,20,22,16,24,20,24,24,23,22,19,18,22,20,22,25,20,17,26,22,23,24,23,24,27,23,24,21,20,21,21,23,24,24,20,2,25,21
"35",16,15,17,16,4,5,16,4,17,13,19,11,12,14,15,14,17,4,17,9,4,7,15,8,17,17,4,11,11,13,18,14,12,2,14,16,9,18,8,4,11,12,6,15,4,13,11,18,4,13,15,17,16,19,12,17,16,17,15,16,10,16,16,5,15,11,13,15,15,14,16,17,16,8,14,6,20,17,16,12,4,19,13,14,10,14,20,15,12,15,14,14,13,18,14,10,9,5,13,4
"36",26,26,28,23,2,22,6,23,24,25,28,24,24,23,20,22,24,20,28,23,22,23,26,26,22,25,25,25,23,25,21,23,21,26,25,23,27,25,23,21,26,20,25,23,19,26,20,24,22,25,26,25,27,24,25,27,22,24,22,23,25,23,23,24,25,24,23,22,23,26,27,23,24,3,26,23,31,22,19,19,29,25,24,27,24,26,28,24,27,26,21,26,25,24,18,27,28,25,26,26
"37",22,19,21,19,20,17,12,19,19,11,24,3,17,4,18,18,13,18,23,20,21,19,22,21,20,4,17,19,3,20,20,18,18,18,19,5,21,19,2,19,21,19,23,17,15,24,18,3,17,22,21,21,17,20,20,19,6,18,19,3,9,21,14,19,2,23,3,11,11,20,22,12,14,4,21,18,24,3,17,9,21,13,2,22,19,22,25,6,11,20,17,2,20,21,22,8,22,20,21,20
